hour,type_subtype,latitude,longitude,count
0,ROAD_CLOSED - EVENT,41.96,-87.75,436
0,JAM - HEAVY,41.89,-87.65,265
0,JAM - HEAVY,41.9,-87.66,248
0,ROAD_CLOSED - EVENT,41.88,-87.65,219
0,ROAD_CLOSED - EVENT,41.69,-87.6,218
0,ROAD_CLOSED - EVENT,41.89,-87.65,218
0,ROAD_CLOSED - EVENT,41.97,-87.75,218
0,ROAD_CLOSED - EVENT,41.84,-87.63,216
0,ROAD_CLOSED - EVENT,41.71,-87.64,215
0,JAM - STAND_STILL,41.89,-87.65,208
1,ROAD_CLOSED - EVENT,41.96,-87.75,428
1,ROAD_CLOSED - EVENT,41.88,-87.65,232
1,ROAD_CLOSED - EVENT,41.89,-87.65,217
1,JAM - HEAVY,41.89,-87.65,215
1,ROAD_CLOSED - EVENT,41.69,-87.6,214
1,ROAD_CLOSED - EVENT,41.71,-87.64,214
1,ROAD_CLOSED - EVENT,41.97,-87.75,214
1,ROAD_CLOSED - EVENT,41.84,-87.63,213
1,JAM - HEAVY,41.9,-87.66,176
1,JAM - STAND_STILL,41.89,-87.65,172
2,ROAD_CLOSED - EVENT,41.96,-87.75,380
2,ROAD_CLOSED - EVENT,41.89,-87.65,201
2,ROAD_CLOSED - EVENT,41.88,-87.65,200
2,ROAD_CLOSED - EVENT,41.97,-87.75,200
2,ROAD_CLOSED - EVENT,41.69,-87.6,195
2,ROAD_CLOSED - EVENT,41.84,-87.63,192
2,ROAD_CLOSED - EVENT,41.71,-87.64,190
2,JAM - HEAVY,41.9,-87.66,157
2,HAZARD - ON_SHOULDER,41.89,-87.65,144
2,HAZARD - ON_SHOULDER,41.88,-87.65,142
3,ROAD_CLOSED - EVENT,41.96,-87.75,382
3,ROAD_CLOSED - EVENT,41.88,-87.65,192
3,ROAD_CLOSED - EVENT,41.71,-87.64,191
3,ROAD_CLOSED - EVENT,41.84,-87.63,188
3,ROAD_CLOSED - EVENT,41.69,-87.6,186
3,ROAD_CLOSED - EVENT,41.89,-87.65,186
3,ROAD_CLOSED - EVENT,41.97,-87.75,182
3,JAM - HEAVY,41.89,-87.65,134
3,JAM - HEAVY,41.9,-87.66,129
3,HAZARD - ON_SHOULDER,41.89,-87.65,120
4,ROAD_CLOSED - EVENT,41.96,-87.75,438
4,ROAD_CLOSED - EVENT,41.88,-87.65,227
4,ROAD_CLOSED - EVENT,41.89,-87.65,224
4,ROAD_CLOSED - EVENT,41.71,-87.64,220
4,ROAD_CLOSED - EVENT,41.69,-87.6,219
4,ROAD_CLOSED - EVENT,41.84,-87.63,219
4,ROAD_CLOSED - EVENT,41.97,-87.75,219
4,HAZARD - ON_ROAD,41.88,-87.65,108
4,HAZARD - ON_SHOULDER,41.89,-87.65,97
4,JAM - STAND_STILL,41.88,-87.65,84
5,ROAD_CLOSED - EVENT,41.96,-87.75,440
5,ROAD_CLOSED - EVENT,41.88,-87.65,226
5,ROAD_CLOSED - EVENT,41.89,-87.65,221
5,ROAD_CLOSED - EVENT,41.69,-87.6,220
5,ROAD_CLOSED - EVENT,41.71,-87.64,220
5,ROAD_CLOSED - EVENT,41.84,-87.63,220
5,ROAD_CLOSED - EVENT,41.97,-87.75,220
5,HAZARD - ON_ROAD,41.89,-87.65,61
5,HAZARD - ON_ROAD,41.88,-87.65,58
5,HAZARD - ON_SHOULDER,41.82,-87.63,52
6,ROAD_CLOSED - EVENT,41.96,-87.75,385
6,ROAD_CLOSED - EVENT,41.89,-87.65,206
6,ROAD_CLOSED - EVENT,41.88,-87.65,205
6,ROAD_CLOSED - EVENT,41.97,-87.75,205
6,ROAD_CLOSED - EVENT,41.69,-87.6,199
6,ROAD_CLOSED - EVENT,41.84,-87.63,198
6,ROAD_CLOSED - EVENT,41.71,-87.64,194
6,HAZARD - ON_ROAD,41.88,-87.67,132
6,HAZARD - ON_ROAD,41.89,-87.65,57
6,HAZARD - ON_ROAD,41.81,-87.63,56
7,ROAD_CLOSED - EVENT,41.96,-87.75,376
7,ROAD_CLOSED - EVENT,41.71,-87.64,188
7,ROAD_CLOSED - EVENT,41.84,-87.63,187
7,ROAD_CLOSED - EVENT,41.69,-87.6,185
7,ROAD_CLOSED - EVENT,41.89,-87.65,181
7,ROAD_CLOSED - EVENT,41.97,-87.75,181
7,ROAD_CLOSED - EVENT,41.88,-87.65,179
7,HAZARD - ON_ROAD,41.88,-87.67,152
7,HAZARD - ON_ROAD,41.87,-87.73,66
7,HAZARD - ON_ROAD,41.81,-87.63,50
8,ROAD_CLOSED - EVENT,41.96,-87.75,438
8,ROAD_CLOSED - EVENT,41.89,-87.65,220
8,ROAD_CLOSED - EVENT,41.69,-87.6,219
8,ROAD_CLOSED - EVENT,41.71,-87.64,219
8,ROAD_CLOSED - EVENT,41.84,-87.63,219
8,ROAD_CLOSED - EVENT,41.88,-87.65,219
8,ROAD_CLOSED - EVENT,41.97,-87.75,219
8,HAZARD - ON_ROAD,41.88,-87.67,85
8,HAZARD - ON_SHOULDER,41.71,-87.61,43
8,HAZARD - ON_ROAD,41.87,-87.73,41
9,ROAD_CLOSED - EVENT,41.96,-87.75,436
9,ROAD_CLOSED - EVENT,41.69,-87.6,218
9,ROAD_CLOSED - EVENT,41.71,-87.64,218
9,ROAD_CLOSED - EVENT,41.84,-87.63,218
9,ROAD_CLOSED - EVENT,41.88,-87.65,218
9,ROAD_CLOSED - EVENT,41.89,-87.65,218
9,ROAD_CLOSED - EVENT,41.97,-87.75,218
9,HAZARD - ON_ROAD,41.97,-87.76,71
9,HAZARD - ON_SHOULDER,41.82,-87.63,46
9,HAZARD - ON_SHOULDER,41.66,-87.59,42
10,ROAD_CLOSED - EVENT,41.96,-87.75,381
10,ROAD_CLOSED - EVENT,41.97,-87.75,198
10,ROAD_CLOSED - EVENT,41.88,-87.65,194
10,ROAD_CLOSED - EVENT,41.89,-87.65,194
10,ROAD_CLOSED - EVENT,41.69,-87.6,192
10,ROAD_CLOSED - EVENT,41.84,-87.63,191
10,ROAD_CLOSED - EVENT,41.71,-87.64,190
10,JAM - HEAVY,41.83,-87.63,100
